# fields=2 strings=0,1
"Interface\Icons\Trade_Engineering","Interface\Icons\Trade_Engineering"
"e\Icons\Trade_Engineering","Interface\Icons\Spell_Shadow_BlackPlague"
"\Icons\Trade_Engineering","Interface\Icons\Spell_Nature_NaturesBlessing"
"Icons\Trade_Engineering","Interface\Icons\Spell_Fire_Fire"
"cons\Trade_Engineering","Interface\Icons\Spell_Fire_Fireball"
"ons\Trade_Engineering","Interface\Icons\Spell_Nature_MagicImmunity"
"ns\Trade_Engineering","Interface\Icons\Spell_Frost_Frost"
"s\Trade_Engineering","Interface\Icons\Spell_Frost_Stun"
"\Trade_Engineering","Interface\Icons\Spell_Fire_FireArmor"
"Trade_Engineering","Interface\Icons\Spell_Frost_IceShock"
"rade_Engineering","Interface\Icons\Spell_Fire_FireBolt"
"ade_Engineering","Interface\Icons\Spell_Nature_LightningShield"
"de_Engineering","Interface\Icons\Spell_Nature_StrangleVines"
"e_Engineering","Interface\Icons\Spell_Nature_FarSight"
"_Engineering","Interface\Icons\Spell_Shadow_ShadeTrueSight"
"Engineering","Interface\Icons\Ability_ShockWave"
"ngineering","Interface\Icons\Spell_Nature_Reincarnation"
"gineering","Interface\Icons\Ability_ThunderBolt"
"ineering","Interface\Icons\Ability_MeleeDamage"
"neering","Interface\Icons\Spell_Nature_Slow"
"eering","Interface\Icons\Ability_Defend"
"ering","Interface\Icons\Ability_Seal"
"ring","Interface\Icons\Spell_Nature_Invisibilty"
"ing","Interface\Icons\Spell_Fire_Immolation"
"ng","Interface\Icons\Spell_Ice_Lament"
"g","Interface\Icons\Spell_Fire_SealOfFire"
"","Interface\Icons\Spell_Fire_FlameBlades"
"Interface\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Frost_Glacier"
"nterface\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Frost_ManaRecharge"
"terface\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Fire_SelfDestruct"
"erface\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_BloodLust"
"rface\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_NatureTouchGrow"
"face\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_NatureTouchDecay"
"ace\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_DryadDispelMagic"
"ce\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Ability_ThunderClap"
"e\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Ability_Temp"
"\Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_Sleep"
"Icons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Fire_MeteorStorm"
"cons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_MoonGlow"
"ons\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_Purge"
"ns\Spell_Shadow_BlackPlague","Interface\Icons\Spell_Shadow_MindSteal"
"s\Spell_Shadow_BlackPlague","Interface\Icons\Ability_EyeOfTheOwl"
"\Spell_Shadow_BlackPlague","Interface\Icons\Ability_BullRush"
"Spell_Shadow_BlackPlague","Interface\Icons\Spell_Holy_InnerFire"
"pell_Shadow_BlackPlague","Interface\Icons\Spell_Holy_Devotion"
"ell_Shadow_BlackPlague","Interface\Icons\Spell_Nature_Thorns"
"ll_Shadow_BlackPlague","Interface\Icons\Spell_Nature_Brilliance"
"l_Shadow_BlackPlague","Interface\Icons\Spell_Shadow_ChillTouch"
"_Shadow_BlackPlague","Interface\Icons\Spell_Frost_FreezingBreath"
"Shadow_BlackPlague","Interface\Icons\Spell_Fire_EnchantWeapon"
"hadow_BlackPlague","Interface\Icons\Spell_Nature_TimeStop"
"adow_BlackPlague","Interface\Icons\Spell_Misc_Food"
"dow_BlackPlague","Interface\Icons\Spell_Misc_Drink"
"ow_BlackPlague","Interface\Icons\Spell_Shadow_RaiseDead"
"w_BlackPlague","Interface\Icons\Spell_Nature_Lightning"
"_BlackPlague","Interface\Icons\Spell_Nature_Strength"
"BlackPlague","Interface\Icons\Spell_Nature_Rejuvenation"
"lackPlague","Interface\Icons\Spell_Nature_NullWard"
"ackPlague","Interface\Icons\Spell_Nature_Earthquake"
"ckPlague","Interface\Icons\Spell_Nature_SpiritWolf"
"kPlague","Interface\Icons\Spell_Nature_CorrosiveBreath"
"Plague","Interface\Icons\Ability_Ensnare"
"lague","Interface\Icons\Spell_Holy_HolyBolt"
"ague","Interface\Icons\Spell_Shadow_Charm"
"gue","Interface\Icons\Spell_Nature_GuardianWard"
"ue","Interface\Icons\Spell_Holy_Restoration"
"e","Interface\Icons\Spell_Holy_DispelMagic"
"","Interface\Icons\Spell_Shadow_SpectralSight"
"Interface\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_FingerOfDeath"
"nterface\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_MindRot"
"terface\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Holy_Invulnerable"
"erface\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Holy_LayOnHands"
"rface\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Holy_SealOfValor"
"face\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Holy_DivineIntervention"
"ace\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Nature_Polymorph"
"ce\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Ability_Whirlwind"
"e\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Ability_Racial_Avatar"
"\Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Ability_UpgradeMoonGlaive"
"Icons\Spell_Nature_NaturesBlessing","Interface\Icons\Ability_Racial_BloodRage"
"cons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_Teleport"
"ons\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_DeathCoil"
"ns\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_RagingScream"
"s\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_Metamorphosis"
"\Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_AuraOfDarkness"
"Spell_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_SoulGem"
"pell_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_UnholyStrength"
"ell_Nature_NaturesBlessing","Interface\Icons\Spell_Frost_SummonWaterElemental"
"ll_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_UnholyFrenzy"
"l_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_Cripple"
"_Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_PlagueCloud"
"Nature_NaturesBlessing","Interface\Icons\Spell_Shadow_Possession"
"ature_NaturesBlessing","Interface\Icons\Spell_Shadow_AntiMagicShell"
"ture_NaturesBlessing","Interface\Icons\Spell_Nature_Tranquility"
"ure_NaturesBlessing","Interface\Icons\Spell_Frost_WindWalkOn"
"re_NaturesBlessing","Interface\Icons\Ability_Smash"
"e_NaturesBlessing","Interface\Icons\Ability_Ambush"
"_NaturesBlessing","Interface\Icons\Spell_Holy_Heal"
"NaturesBlessing","Interface\Icons\Ability_SearingArrow"
"aturesBlessing","Interface\Icons\Spell_Nature_MoonKey"
"turesBlessing","Interface\Icons\Ability_Racial_BearForm"
"uresBlessing","Interface\Icons\Ability_GhoulFrenzy"
"resBlessing","Interface\Icons\Spell_Nature_FaerieFire"
"esBlessing","Interface\Icons\Spell_Nature_SlowPoison"
"sBlessing","Interface\Icons\Spell_Nature_ForceOfNature"
"Blessing","Interface\Icons\Spell_Nature_RavenForm"
"lessing","Interface\Icons\Spell_Shadow_Haunting"
"essing","Interface\Icons\Spell_Shadow_ShadowPact"
"ssing","Interface\Icons\Spell_Nature_Swiftness"
"sing","Interface\Icons\Spell_Shadow_CarrionSwarm"
"ing","Interface\Icons\Spell_Nature_WispHeal"
"ng","Interface\Icons\Spell_Shadow_DeathAndDecay"
"g","Interface\Icons\Spell_Frost_FrostArmor"
"","Interface\Icons\Spell_Totem_WardOfDraining"
"Interface\Icons\Spell_Fire_Fire","Interface\Icons\Spell_Holy_Resurrection"
"nterface\Icons\Spell_Fire_Fire","Interface\Icons\Spell_Nature_WispSplode"
"terface\Icons\Spell_Fire_Fire","Interface\Icons\Spell_Nature_Regeneration"
"erface\Icons\Spell_Fire_Fire","Interface\Icons\Spell_Nature_ResistMagic"
"rface\Icons\Spell_Fire_Fire","Interface\Icons\Spell_Holy_MagicalSentry"
"face\Icons\Spell_Fire_Fire","Interface\Icons\Ability_Marksmanship"
"ace\Icons\Spell_Fire_Fire","Interface\Icons\Ability_TheBlackArrow"
"ce\Icons\Spell_Fire_Fire","Interface\Icons\Ability_TrueShot"
"e\Icons\Spell_Fire_Fire","Interface\Icons\Ability_WarStomp"
"\Icons\Spell_Fire_Fire","Interface\Icons\Spell_Shadow_RitualOfSacrifice"
"Icons\Spell_Fire_Fire","Interface\Icons\Ability_Racial_ShadowMeld"
"cons\Spell_Fire_Fire","Interface\Icons\Ability_GolemStormBolt"
"ons\Spell_Fire_Fire","Interface\Icons\Spell_Frost_WizardMark"
"ns\Spell_Fire_Fire","Interface\Icons\Spell_Shadow_DeathScream"
"s\Spell_Fire_Fire","Interface\Icons\Spell_Shadow_EvilEye"
"\Spell_Fire_Fire","Interface\Icons\Spell_Fire_Flare"
"Spell_Fire_Fire","Interface\Icons\Spell_Shadow_MindBomb"
"pell_Fire_Fire","Interface\Icons\Ability_CriticalStrike"
"ell_Fire_Fire","Interface\Icons\Spell_Nature_EnchantArmor"
"ll_Fire_Fire","Interface\Icons\Spell_Shadow_SealOfKings"
"l_Fire_Fire","Interface\Icons\Spell_Nature_CallStorm"
"_Fire_Fire","Interface\Icons\Spell_Frost_IceClaw"
"Fire_Fire","Interface\Icons\Spell_Frost_Wisp"
"ire_Fire","Interface\Icons\Frostbolt_test"
"re_Fire","Interface\Icons\Spell_Frost_ManaBurn"
"e_Fire","Interface\Icons\Ability_Racial_Cannibalize"
"_Fire","Interface\Icons\Spell_Shadow_VampiricAura"
"Fire","Interface\Icons\Ability_GolemThunderClap"
"ire","Interface\Icons\Spell_Nature_Regenerate"
"re","Interface\Icons\Spell_Shadow_UnsummonBuilding"
"e","Interface\Icons\Ability_SteelMelee"
