# fields=57 strings=0,3,4,5,6,7,8,9,13,14,15,16,17,18,21,22,23,40
"PLAYER, Human",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","PLAYER, Human",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
"LAYER, Human",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","PLAYER, Orc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
"AYER, Human",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","PLAYER, Dwarf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
"YER, Human",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","PLAYER, Night Elf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
"ER, Human",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","PLAYER, Undead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"R, Human",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","PLAYER, Tauren ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
", Human",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","Creature",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
" Human",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","PLAYER, Gnome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
"Human",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","PLAYER, Troll",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
"",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","Monster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
"PLAYER, Orc",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","Defias Brotherhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
"LAYER, Orc",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","Gnoll - Riverpaw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
"AYER, Orc",4294967295,0,"","","","","","","",0,0,0,"","","","","","",1065353216,1065353216,"ER, Human","ER, Human","Gnoll - Redridge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712188
