# fields=18 strings=0,1
"%s agrees with %s.","%s agrees with %s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"s agrees with %s.","%s agrees with you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
" agrees with %s.","You agree with %s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"agrees with %s.","%s agrees.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"grees with %s.","You agree.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"rees with %s.","%s is amazed by %s!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"ees with %s.","%s is amazed by you!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"es with %s.","You are amazed by %s!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"s with %s.","%s is amazed!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
" with %s.","You are amazed!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"with %s.","%s raises his fist in anger at %s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"ith %s.","%s raises his fist in anger at you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"th %s.","You raise your fist in anger at %s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"h %s.","%s raises his fist in anger.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
" %s.","You raise your fist in anger.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"%s.","%s raises her fist in anger at %s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"s.","%s raises her fist in anger at you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
".","%s raises her fist in anger.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"","%s apologizes to %s.  Sorry!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"%s agrees with you.","%s apologizes to you.  Sorry!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"s agrees with you.","You apologize to %s.  Sorry!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
" agrees with you.","%s apologizes to everyone.  Sorry!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"agrees with you.","You apologize to everyone.  Sorry!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"grees with you.","%s applauds at %s.  Bravo!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"rees with you.","%s applauds at you.  Bravo!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"ees with you.","You applaud at %s.  Bravo!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"es with you.","%s applauds.  Bravo!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"s with you.","You applaud.  Bravo!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
" with you.","%s is so bashful...too bashful to get %s's attention.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"with you.","%s is so bashful...too bashful to get your attention.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"ith you.","You are so bashful...too bashful to get %s's attention.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"th you.","%s is bashful.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"h you.","You are bashful.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
" you.","%s beckons %s over.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"you.","%s beckons you over.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
"ou.","You beckon %s over.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190
