# fields=16 strings=0,1,2,3,5,6,7,8,9,11,12,13,14,15
"anThiefSkin","anThiefSkin","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"in","in","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"n","n","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"","","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"HumanMaleCitizenLow","HumanMaleCitizenLow","","",1065353216,"orseSkinBlack","HumanThiefSkin","","","",1,"","","","",""
"umanMaleCitizenLow","umanMaleCitizenLow","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"manMaleCitizenLow","manMaleCitizenLow","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"anMaleCitizenLow","anMaleCitizenLow","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"nMaleCitizenLow","nMaleCitizenLow","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"MaleCitizenLow","aleCitizenLow","","",1065353216,"orseSkinBlack","HumanMaleCitizenLow","","","",1,"","","","",""
"aleCitizenLow","aleCitizenLow","","",1065353216,"orseSkinBlack","HumanMaleCitizenLow","","","",1,"","","","",""
"leCitizenLow","leCitizenLow","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"itizenLow","itizenLow","itizenLow","",1065353216,"orseSkinBlack","koboldskinNormal","","","",0,"","","","",""
"enLow","enLow","","",1053609165,"orseSkinBlack","MineSpiderSkinSteel","","","",1,"","","","",""
"nLow","nLow","","",1065353216,"orseSkinBlack","Sahauginskin","","","",1,"","","","",""
"ow","ow","","",1065353216,"orseSkinBlack","OgreSkinBeige","OgreMageSkin2","","",3,"","","","",""
"boldskinNormal","boldskinNormal","","",1066611507,"orseSkinBlack","TallStriderSkinTurquoise","","","",4294967295,"","","","",""
"oldskinNormal","oldskinNormal","","",1065353216,"orseSkinBlack","TitanFemaleSkin_01","TitanFemaleSkin_02","","",4,"","","","",""
"ldskinNormal","ldskinNormal","","",1065353216,"orseSkinBlack","TitanMaleSkin01","TitanMaleSkin02","","",3,"","lack","","",""
"skinNormal","skinNormal","","",1065353216,"orseSkinBlack","TrollSkinJungleBloodScalpMelee","","","",1,"","","","",""
"mal","mal","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"al","al","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
"l","l","","",1065353216,"orseSkinBlack","","","","",1,"","","","",""
