# fields=24 strings=0,5
"Northshire Abbey",0,3322602476,3205119345,1119668142,"Northshire Abbey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,308,0
"orthshire Abbey",0,3322552893,1140119962,1121663058,"Stormwind, Elwynn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,541
"rthshire Abbey",0,1182797727,1182749911,1116397896,"Programmer Isle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,308,0
"thshire Abbey",0,3324384553,1149345382,1107825787,"Sentinel Hill, Westfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,541
"hshire Abbey",0,3323155558,3305862758,1116294349,"Lakeshire, Redridge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,541
"shire Abbey",0,3314986557,3297799700,1140529889,"Ironforge, Dun Morogh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,541
"hire Abbey",0,3312256041,3292779151,1091630531,"Menethil Harbor, Wetlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,541
"ire Abbey",0,3316215624,3308724265,1135452160,"Thelsamar, Loch Modan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,541
"re Abbey",0,3328114452,1133899612,1106819154,"Booty Bay, Stranglethorn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,541,0
"e Abbey",0,1139764756,1153438433,1124291052,"The Sepulcher, Silverpine Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,3574,0
" Abbey",0,1153700823,1132854313,3257689702,"Undercity, Tirisfal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,3574,0
"Abbey",0,3324267991,3298669773,1109744681,"Darkshire, Duskwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,541
"bbey",0,3178611343,3294034493,1114329580,"Tarren Mill, Hillsbrad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,3574,0
"bey",0,3291602616,3288391352,1104208200,"Southshore, Hillsbrad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,541
"ey",0,1158469222,3316057907,1118225039,"Eastern Plaguelands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,541,0
"y",0,3298496758,3307024835,1102137262,"Refuge Pointe, Arathi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,541
"",0,3294958223,3311046205,1116530278,"Hammerfall, Arathi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,2224,0
