# fields=18 strings=0,1,2,3,4,5,6,7,8,9,10,11
"World\Generic\ActiveDoodads\Chest02\Chest02.mdx","World\Generic\ActiveDoodads\Chest02\Chest02.mdx","","s\WoodSignPointerWorn01.mdx","","","","","","","","",3196419788,3202811773,1005785778,1048932247,1055265412,1060092116
"orld\Generic\ActiveDoodads\Chest02\Chest02.mdx","World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterStuck01.mdx","","","","","","","","","","",3198591498,3198988749,985851761,1051957985,1050607083,1065196282
"rld\Generic\ActiveDoodads\Chest02\Chest02.mdx","World\Azeroth\Stranglethorn\Buildings\TrollWatchTower\TrollWatchTower.mdx","","","","","","","","","","",3232463491,3234242228,3164077711,1089117771,1087780139,1097366489
"ld\Generic\ActiveDoodads\Chest02\Chest02.mdx","World\Generic\Human\Passive Doodads\Wardrobe\DuskwoodWardrobe02.mdx","","","","","","","","","","",3198402083,3212608694,999583845,1066145260,1065250925,1077109603
"d\Generic\ActiveDoodads\Chest02\Chest02.mdx","World\Generic\Troll\Passive Doodads\TrollTablets\TrollTablet.mdx","","","","","","","","","","",3208902842,3218311857,3197796828,1029050542,1070622856,1083038331
"\Generic\ActiveDoodads\Chest02\Chest02.mdx","World\Azeroth\Elwynn\PassiveDoodads\Statue\LionStatue.mdx","","","","","","","","","","",3230251214,3232120145,3212837862,1082738480,1084146349,1094844117
"Generic\ActiveDoodads\Chest02\Chest02.mdx","World\Azeroth\Elwynn\PassiveDoodads\jugs\jug02.mdx","","","","","","","","","","",3196615175,3196547966,993123677,1048802291,1049201186,1059494562
"eneric\ActiveDoodads\Chest02\Chest02.mdx","World\Generic\Human\Passive Doodads\Footlockers\DuskwoodFootLocker01.mdx","","","","","","","","","","",3197913262,3207783600,3150189934,1050364720,1060153739,1055878787
"neric\ActiveDoodads\Chest02\Chest02.mdx","World\Generic\PassiveDoodads\Barrel\BrokenBarrel02.mdx","","","","","","","","","","",3214805922,3205790802,3171957902,1054576472,1062260621,1065508237
"eric\ActiveDoodads\Chest02\Chest02.mdx","World\Generic\ActiveDoodads\Chest01\Chest01.mdx","dSignPointerWorn01.mdx","s\WoodSignPointerWorn01.mdx","odSignPointerWorn01.mdx","\WoodSignPointerWorn01.mdx","","","","","","",3200880413,3205971896,1011341855,1053392873,1058457025,1059157927
"ric\ActiveDoodads\Chest02\Chest02.mdx","World\Generic\Human\Passive Doodads\Sarcophagi\Sarcophagus.mdx","","","","","","","","","","",3218144915,3205239050,3193797006,1069293362,1058113680,1065455985
