# fields=35 strings=0,1,2,3,5,6,7,8,9,11,28,29,32
"Dun Morogh","","","n Forest",65,"","","ds","ogh","",0,"Dun Morogh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"un Morogh","",0,0,"",3287941120,1050253722
"un Morogh","","ands"," Forest",64,"","","","gh","",0,"Longshore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"","",0,0,"",3287941120,0
"n Morogh","","","Forest",64,"","","lands","rogh","",0,"Badlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"","",0,0,"",3287941120,1036831949
" Morogh","","","orest",64,"","","","rogh","",0,"Blasted Lands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"","",0,0,"",3287941120,0
"rogh","","asted Lands","rest",64,"","","","n Morogh","",0,"Blackwater Cove",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"","",0,0,"",3287941120,0
"ogh","","","est",64,"","","asted Lands","l Tiras","",0,"Swamp of Sorrows",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"","",0,0,"",3287941120,1050253722
"gh","","Longshore","st",1048640,"","","ted Lands","Dun Morogh","",0,"Northshire Valley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"","",0,0,"",3287941120,0
"h","","","f Heroes UNUSED",64,"","","ands","un Morogh","",0,"Duskwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"","",0,0,"",3287941120,1050253722
"","",""," Heroes UNUSED",64,"","","","ras","",0,"Wetlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"","",0,0,"",3287941120,1050253722
"Longshore","","","t",64,"","","ted Lands","Dun Morogh","",0,"Elwynn Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"un Morogh","",0,0,"",3287941120,0
"ongshore","","h","Man's Hole",64,"","","ckwater Cove","","",0,"The World Tree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,"","",0,0,"",3287941120,0
