# fields=14 strings=0,1,2,3,5,6,7,8,9,11,12,13
"anThiefSkin","anThiefSkin","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"in","in","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"n","n","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"","","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"HumanMaleCitizenLow","HumanMaleCitizenLow","","",1065353216,"ntalSkinBrown","HumanThiefSkin","","","",1,"","",""
"umanMaleCitizenLow","umanMaleCitizenLow","","",0,"ntalSkinBrown","","","","",1,"","",""
"manMaleCitizenLow","manMaleCitizenLow","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"anMaleCitizenLow","anMaleCitizenLow","","",0,"ntalSkinBrown","","","","",1,"","",""
"nMaleCitizenLow","nMaleCitizenLow","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"MaleCitizenLow","aleCitizenLow","","",1065353216,"ntalSkinBrown","HumanMaleCitizenLow","","","",1,"","",""
"aleCitizenLow","aleCitizenLow","","",1065353216,"ntalSkinBrown","HumanMaleCitizenLow","","","",1,"","",""
"leCitizenLow","leCitizenLow","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"itizenLow","itizenLow","itizenLow","",1065353216,"ntalSkinBrown","koboldskinNormal","","","",0,"","",""
"enLow","enLow","","",1053609165,"ntalSkinBrown","MineSpiderSkinSteel","","","",1,"","",""
"nLow","nLow","","",1065353216,"ntalSkinBrown","Sahauginskin","","","",1,"","",""
"ow","ow","","",1065353216,"ntalSkinBrown","OgreSkinBeige","OgreMageSkin2","","",3,"","",""
"boldskinNormal","boldskinNormal","","",1066611507,"ntalSkinBrown","TallStriderSkinTurquoise","","","",4294967295,"","",""
"oldskinNormal","oldskinNormal","","",1065353216,"ntalSkinBrown","","","","",4,"","",""
"ldskinNormal","ldskinNormal","","",1065353216,"ntalSkinBrown","TitanMaleSkin01","TitanMaleSkin02","","",3,"","",""
"skinNormal","skinNormal","","",1065353216,"ntalSkinBrown","TrollSkinJungleBloodScalpMelee","","","",1,"","",""
"mal","mal","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"al","al","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"l","l","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"","","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"MineSpiderSkinSteel","MineSpiderSkinSteel","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"ineSpiderSkinSteel","ineSpiderSkinSteel","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"neSpiderSkinSteel","neSpiderSkinSteel","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"eSpiderSkinSteel","eSpiderSkinSteel","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"SpiderSkinSteel","SpiderSkinSteel","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"piderSkinSteel","piderSkinSteel","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"iderSkinSteel","iderSkinSteel","","",1068289229,"ntalSkinBrown","","","","",1,"","",""
"derSkinSteel","derSkinSteel","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"rSkinSteel","rSkinSteel","","",1067869798,"ntalSkinBrown","HydraSkinBlue","","","",4294967295,"","",""
"kinSteel","kinSteel","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"inSteel","inSteel","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"teel","teel","","",1065353216,"ntalSkinBrown","BalrogSkinBlue","BalrogWingBlue","","",1,"","",""
"eel","eel","","",1065353216,"ntalSkinBrown","RockElementalSkinBrown","","","",1,"","",""
"l","l","","",1065353216,"ntalSkinBrown","HarvestGolemSkinBrown","HarvestGolemBitsBrown","","",1,"","",""
"Sahauginskin","Sahauginskin","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"ahauginskin","aleCitizenLow","","",1065353216,"ntalSkinBrown","HumanMaleCitizenLow","","","",1,"","",""
"inskin","inskin","","",1065353216,"ntalSkinBrown","HumanMaleKidSkinPeach","","","",1,"","",""
"nskin","nskin","","",1065353216,"ntalSkinBrown","HumanFemaleKidfarmdress","","","",1,"","",""
"OgreSkinBeige","aleCitizenLow","","",1065353216,"ntalSkinBrown","HumanMaleCitizenLow","","","",1,"","",""
"greSkinBeige","aleCitizenLow","","",1065353216,"ntalSkinBrown","HumanMaleCitizenLow","","","",1,"","",""
"reSkinBeige","aleCitizenLow","","",1065353216,"ntalSkinBrown","HumanMaleCitizenLow","","","",1,"","",""
"eSkinBeige","eSkinBeige","","",1065353216,"ntalSkinBrown","HumanMalePeasantLightSkin","HumanMalePeasantLogs","","",1,"","aleSkin02",""
"kinBeige","kinBeige","","",1065353216,"ntalSkinBrown","SilithidTankSkinViolet","","","",1,"","",""
"inBeige","inBeige","","",1065353216,"ntalSkinBrown","SilithidFlyerSkinPurple","","","",1,"","",""
"nBeige","nBeige","","",1065353216,"ntalSkinBrown","HumanFemaleMerchant01_GreenApron","","","",1,"","",""
"Beige","Beige","","",1065353216,"ntalSkinBrown","HumanFemaleFarmer_Bluedress","","","",1,"","",""
"eige","eige","","",1065353216,"ntalSkinBrown","HumanFemaleMerchant03Skin1","","","",1,"","",""
"ige","ige","","",1065353216,"ntalSkinBrown","HumanFemaleMerchant01","","","",1,"","",""
"ge","ge","","",1065353216,"ntalSkinBrown","HumanFemalePeasant_BlackDress","","","",1,"","",""
"e","e","","",1065353216,"ntalSkinBrown","HumanFemaleWarriorHeavy_SkinLight","","","",1,"","",""
"","","","",1065353216,"ntalSkinBrown","HumanFemaleWarriorLight_Skin01","","","",1,"","",""
"OgreMageSkin2","OgreMageSkin2","","",1065353216,"ntalSkinBrown","HumanFemaleWarriorMedium_SkinBronze","","","",1,"","",""
"greMageSkin2","aleCitizenLow","","",1065353216,"ntalSkinBrown","HumanMaleCitizenLow","","","",1,"","",""
"reMageSkin2","reMageSkin2","","",1065353216,"ntalSkinBrown","HumanMaleFarmerSkin01","","","",1,"","",""
"eMageSkin2","eMageSkin2","","",1065353216,"ntalSkinBrown","HumanMaleMerchant03Skin1","","","",1,"","",""
"MageSkin2","MageSkin2","","",1065353216,"ntalSkinBrown","HumanMaleWarriorHeavy_Skin01","","","",1,"","",""
"ageSkin2","ageSkin2","","",1065353216,"ntalSkinBrown","HumanMaleWarriorMediumSkinDark","","","",1,"","",""
"geSkin2","aleCitizenLow","","",1065353216,"ntalSkinBrown","HumanMaleCitizenLow","","","",1,"","",""
"eSkin2","eSkin2","","",1065353216,"ntalSkinBrown","HumanMaleWarriorLight_Skin01","","","",1,"","",""
"Skin2","Skin2","","",1065353216,"ntalSkinBrown","HumanMaleCaster_SkinMage","","","",1,"","rmal",""
"kin2","kin2","","",1065353216,"ntalSkinBrown","HumanFemaleCaster_SkinPriest","","","",1,"","",""
"in2","in2","","",1069547520,"ntalSkinBrown","WaterElementalSkin","","","",1,"","",""
"2","2","","",1065353216,"ntalSkinBrown","BlackRockClanOrcWarriorSkin","","","",1,"","",""
"","","","",1065353216,"ntalSkinBrown","BlackRockClanOrcRunnerSkin","","","",1,"","",""
"allStriderSkinTurquoise","MineSpiderSkinSteel","","leCitizenLow",1065353216,"ntalSkinBrown","","","","",1,"","",""
"erSkinTurquoise","erSkinTurquoise","","",1065353216,"ntalSkinBrown","","","","",1,"","",""
"SkinTurquoise","SkinTurquoise","","",1065353216,"ntalSkinBrown","HumanMaleMarshalBlonde","","","",1,"","",""
"kinTurquoise","aleCitizenLow","","",1065353216,"ntalSkinBrown","HumanMaleCitizenLow","","","",1,"","",""
"inTurquoise","inTurquoise","","",1065353216,"ntalSkinBrown","PirateCaptain01","","","",1,"","",""
"nTurquoise","nTurquoise","","",1065353216,"ntalSkinBrown","PirateCrewman02","","","",1,"","",""
"Turquoise","Turquoise","","",1065353216,"ntalSkinBrown","Swashbuckler02","","","",1,"","",""
