# fields=22 strings=0,3,12,21
"",7,0,"Frost",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"gher defense makes you harder to hit and makes monsters less likely to land a crushing blow."
"ire",7,0,"Fire",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"se"
"btlety",7,0,"Arms",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"d abilities.  First aid abilities can be found on trainers around the world as well as from quests and as drops from monsters."
"ns",7,0,"Combat",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892," less likely to land a crushing blow."
"s",7,0,"Subtlety",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"ikely to land a crushing blow."
"",7,0,"Poisons",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128892,"Frost"
"ords",6,0,"Swords",0,0,0,0,0,0,0,8323199,"Higher weapon skill increases your chance to hit.",0,0,0,0,0,0,0,4128894,"Frost"
"rds",6,0,"Axes",0,0,0,0,0,0,0,8323199,"Higher weapon skill increases your chance to hit.",0,0,0,0,0,0,0,4128894,"Frost"
"ds",6,0,"Bows",0,0,0,0,0,0,0,8323198,"Higher weapon skill increases your chance to hit.",0,0,0,0,0,0,0,4128894,"Frost"
"s",6,0,"Guns",0,0,0,0,0,0,0,8323198,"Higher weapon skill increases your chance to hit.",0,0,0,0,0,0,0,4128894,"Frost"
"gher weapon skill increases your chance to hit.",7,0,"Beast Mastery",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892," to land a crushing blow."
"her weapon skill increases your chance to hit.",7,0,"Survival",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"o land a crushing blow."
" weapon skill increases your chance to hit.",6,0,"Maces",0,0,0,0,0,0,0,8323199,"Higher weapon skill increases your chance to hit.",0,0,0,0,0,0,0,4128894,"Frost"
"weapon skill increases your chance to hit.",6,0,"Two-Handed Swords",0,0,0,0,0,0,0,8323198,"Higher weapon skill increases your chance to hit.",0,0,0,0,0,0,0,4128894,"Frost"
"eapon skill increases your chance to hit.",7,0,"Holy",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"creases your chance to hit."
"your chance to hit.",7,0,"Shadow Magic",0,0,0,0,0,0,0,8323199,"",0,0,0,0,0,0,0,4128892," monsters less likely to land a crushing blow."
"t.",6,0,"Defense",0,0,0,0,0,0,0,8323198,"Higher defense makes you harder to hit and makes monsters less likely to land a crushing blow.",0,0,0,0,0,0,0,4128894,"Frost"
"Axes",10,0,"Language: Common",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128892,"Frost"
"s",9,0,"Dwarven Racial",0,0,0,0,0,0,0,8323199,"",0,0,0,0,0,0,0,4128892,"Frost"
"uns",10,0,"Language: Orcish",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128892,"Frost"
"s",10,0,"Language: Dwarven",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128892,"Frost"
"Beast Mastery",10,0,"Language: Darnassian",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128892,"Frost"
"ast Mastery",10,0,"Language: Taurahe",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128892,"Frost"
" Mastery",6,0,"Dual Wield",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128892,"Frost"
"ry",9,0,"Tauren Racial",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128892,"Frost"
"y",9,0,"Orc Racial",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128892,"Frost"
"",9,0,"Night Elf Racial",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128892,"Frost"
"rvival",9,0,"First Aid",0,0,0,0,0,0,0,8323198,"Higher first aid skill allows you to learn higher level first aid abilities.  First aid abilities can be found on trainers around the world as well as from quests and as drops from monsters.",0,0,0,0,0,0,0,4128894,"Frost"
"l",7,0,"Feral Combat",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,""
"Maces",6,0,"Staves",0,0,0,0,0,0,0,8323199,"Higher weapon skill increases your chance to hit.",0,0,0,0,0,0,0,4128894,"Frost"
"aces",10,0,"Language: Thalassian",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"Frost"
"ces",10,0,"Language: Draconic",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"Frost"
"es",10,0,"Language: Demon Tongue",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"Frost"
"s",10,0,"Language: Titan",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"Frost"
"",10,0,"Language: Old Tongue",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128892,"Frost"
