# fields=12 strings=0,1,2,3,5,6,7,8,10,11
"eSpiderSkinCrystal","eSpiderSkinCrystal","","",1065353216,"ige","MineSpiderSkinCrystal","","",1,"",""
"inCrystal","inCrystal","","",1065353216,"ige","HUFMCitizenLow","HUFMCitizenLowHair","",1,"",""
"nCrystal","nCrystal","","",1065353216,"ige","HUFMCitizenMid","","",1,"",""
"Crystal","Crystal","","",1065353216,"ige","HUFMMerchant","HUFMMerchantHair","",1,"",""
"rystal","rystal","","",0,"ige","HumanThiefSkin","","",1,"",""
"ystal","ystal","","",0,"ige","HumanMaleBlacksmith","","",1,"",""
"stal","stal","","",1065353216,"ige","HumanMaleMagicsmith","","",1,"",""
"tal","tal","","",0,"ige","HumanMaleMerchant","","",1,"",""
"al","al","","",1065353216,"ige","","","",1,"",""
"l","","","",1065353216,"ige","HumanMaleCitizenLow","","",1,"",""
"","","","",1065353216,"ige","HumanMaleCitizenLow","","",1,"",""
"HUFMCitizenLow","HUFMCitizenLow","","",1065353216,"ige","","","",1,"",""
"MCitizenLow","MCitizenLow","MCitizenLow","",1065353216,"ige","koboldskinNormal","","",0,"",""
"izenLow","izenLow","","",1053609165,"ige","MineSpiderSkinSteel","","",1,"",""
"zenLow","zenLow","","",1065353216,"ige","Sahauginskin","","",1,"",""
"nLow","nLow","","",1065353216,"ige","OgreSkinBeige","OgreMageSkin2","",3,"",""
"HUFMCitizenLowHair","HUFMCitizenLowHair","","",1066611507,"ige","TallStriderSkinTurquoise","","",4294967295,"",""
"UFMCitizenLowHair","UFMCitizenLowHair","","",1065353216,"ige","TitanFemaleSkin_01","TitanFemaleSkin_02","",4,"",""
"FMCitizenLowHair","FMCitizenLowHair","","",1065353216,"ige","TitanMaleSkin01","TitanMaleSkin02","",3,"",""
"CitizenLowHair","CitizenLowHair","","",1065353216,"ige","TrollSkinJungleBloodScalpMelee","","",1,"",""
"LowHair","LowHair","","",1065353216,"ige","","","",1,"",""
"owHair","owHair","","",1065353216,"ige","","","",1,"",""
"wHair","wHair","","",1065353216,"ige","","","",1,"",""
"Hair","Hair","","",1065353216,"ige","","","",1,"",""
"air","air","","",1065353216,"ige","","","",1,"",""
"ir","ir","","",1065353216,"ige","","","",1,"",""
"r","r","","",1065353216,"ige","","","",1,"",""
"","","","",1065353216,"ige","","","",1,"",""
"HUFMCitizenMid","HUFMCitizenMid","","",1065353216,"ige","","","",1,"",""
"UFMCitizenMid","UFMCitizenMid","","",1065353216,"ige","","","",1,"",""
"FMCitizenMid","FMCitizenMid","","",1068289229,"ige","","","",1,"",""
