# fields=15 strings=0,1,11,13,14
"cement","Elemental",0,0,0,0,0,0,0,4128894,1137,"adow",64,"","ShamanElementalCombat"
"nt","Balance",0,0,0,0,0,0,0,4128894,62,"adow",1024,"","DruidBalance"
"ology","Holy",0,0,0,0,0,0,0,4128894,70,"adow",2,"","PaladinHoly"
"eArcane","Arcane",0,0,0,0,0,0,0,4128894,122,"adow",128,"","MageArcane"
"ffliction","Assassination",0,0,0,0,0,0,0,4128894,498,"adow",8,"","RogueAssassination"
"DruidBalance","Fire",0,0,0,0,0,0,0,4128894,11,"adow",128,"","MageFire"
"rses","Discipline",0,0,0,0,0,0,0,4128894,555,"adow",16,"","PriestDiscipline"
"ne","Arms",0,0,0,0,0,0,0,4128894,1462,"adow",1,"","WarriorArms"
"at","Affliction",0,0,0,0,0,0,0,4128894,150,"adow",256,"","WarlockCurses"
"ship","Beast Mastery",0,0,0,0,0,0,0,4128894,255,"adow",4,"","HunterBeastMastery"
"Arms","Fury",0,0,0,0,0,0,0,4128894,456,"adow",1,"Elemental","WarriorFury"
"ment","Enhancement",0,0,0,0,0,0,0,4128894,312,"adow",64,"Elemental","ShamanEnhancement"
"Affliction","Combat",0,0,0,0,0,0,0,4128894,1501,"adow",8,"Elemental","RogueCombat"
"logy","Protection",0,0,0,0,0,0,0,4128894,291,"adow",2,"Elemental","PaladinProtection"
"ip","Marksmanship",0,0,0,0,0,0,0,4128894,126,"adow",4,"Elemental","HunterMarksmanship"
"ses","Holy",0,0,0,0,0,0,0,4128894,79,"adow",16,"Elemental","PriestHoly"
"t","Demonology",0,0,0,0,0,0,0,4128894,692,"adow",256,"Elemental","WarlockSummoning"
"ment","Feral Combat",0,0,0,0,0,0,0,4128894,201,"adow",1024,"Elemental","DruidFeralCombat"
"","Protection",0,0,0,0,0,0,0,4128894,1463,"adow",1,"lemental","WarriorProtection"
"ement","Restoration",0,0,0,0,0,0,0,4128894,963,"adow",64,"lemental","ShamanRestoration"
"nology","Retribution",0,0,0,0,0,0,0,4128894,555,"adow",2,"lemental","PaladinCombat"
"es","Shadow",0,0,0,0,0,0,0,4128894,98,"adow",16,"lemental","PriestShadow"
"hip","Survival",0,0,0,0,0,0,0,4128894,257,"adow",4,"lemental","HunterSurvival"
"ladinHoly","Frost",0,0,0,0,0,0,0,4128894,56,"adow",128,"lemental","MageFrost"
"fliction","Subtlety",0,0,0,0,0,0,0,4128894,103,"adow",8,"lemental","RogueSubtlety"
"bat","Destruction",0,0,0,0,0,0,0,4128894,937,"adow",256,"lemental","WarlockDestruction"
"ent","Restoration",0,0,0,0,0,0,0,4128894,962,"adow",1024,"lemental","DruidRestoration"
