# fields=8 strings=0,1,3
"otar","Durotar",14,"Durotar",3304411136,3319959552,1155664527,3302397297
"Mulgore","Durotar",215,"Mulgore",1157627249,3309377864,3280500163,3311869624
"lgore","Durotar",17,"Barrens",1159982776,3320492892,1154060288,3315645952
"ore","Durotar",0,"Kalimdor",1183143219,3331992172,1179123610,3325515059
"re","",0,"Azeroth",1182400512,3331719117,1172919501,3329884160
"e","",36,"Alterac",1145296159,3304854897,1153138688,3283572163
"","",45,"Arathi",3294145249,3314259292,3271906427,3307099464
"Barrens","",3,"Badlands",3305239224,3314464092,3317173412,3320569692
"rrens","",4,"BlastedLands",3298506097,3314515292,3324320430,3326607360
"rens","",85,"Tirisfal",1161663816,3300502897,1164957696,1145978880
"ens","",130,"Silverpine",1163370496,3292233728,1154504049,3297618575
"ns","",28,"WesternPlaguelands",1137726915,3312629064,1163029176,1140457472
"s","",139,"EasternPlaguelands",3305674424,3317514752,1164804096,1150834688
"","",267,"Hilsbrad",1149588849,3305461064,1137180672,3302533775
"alimdor","",47,"Hinterlands",3301236736,3316221952,1152865649,3297345536
"limdor","",1,"DunMorogh",1155613327,3309514424,3312603464,3319776092
"imdor","",51,"SearingGorge",3282138563,3307184824,3317604352,3320650752
"mdor","",46,"BurningSteppes",3280295363,3309813064,3319511552,3322699090
"dor","",12,"Elwynn",1153428849,3304189297,3321371812,3324000430
"r","",41,"DeadwindPass",3293599007,3310376264,3323603630,3325310290
"Azeroth","",10,"Duskwood",1146115359,3303626097,3323450030,3325293230
"zeroth","",38,"LochModan",3304667136,3314843812,3314301952,3318069412
"eroth","",44,"Redridge",3301202575,3312048824,3322280960,3323763630
"roth","",33,"Stranglethorn",1158335816,3313632092,3324936960,3329293230
"oth","",8,"SwampOfSorrows",3305828024,3314361692,3323351890,3324917760
"th","",40,"Westfall",1161595576,3287394877,3323125760,3325515090
"h","",11,"Wetlands",3284322877,3314378752,3305520824,3315155292
"","Durotar",141,"Teldrassil",1164863816,3298796175,1178131712,1174656512
"Alterac","Durotar",148,"Darkshore",1161288376,3311502664,1174549842,1165486776
"lterac","Durotar",331,"Ashenvale",1154777088,3313380024,1167198044,1146047201
"ands","Durotar",400,"ThousandNeedles",3285756477,3315010212,3312970424,3319242752
"risfal","Durotar",406,"StonetalonMountains",1165414400,3305197568,1163333632,3289268224
"sternPlaguelands","Durotar",405,"Desolace",1166297764,3280158720,1138887229,3307150664
"ternPlaguelands","Durotar",357,"Feralas",1168772444,3300690575,3306416824,3319447552
"brad","Durotar",15,"Dustwallow",3295920128,3317860352,3304991375,3316443812
"Morogh","Durotar",440,"Tanaris",3277504512,3319690752,3317143552,3324226560
"BurningSteppes","Durotar",16,"Aszhara",3310145864,3322048430,1168567644,1156910449
"urningSteppes","Durotar",361,"Felwood",1154299249,3313525412,1172236964,1162756096
"n","Durotar",490,"UngoroCrater",1141200159,3309693624,3317331292,3322135890
"ge","Durotar",493,"Moonglade",3299649536,3311835464,1174711982,1171865764
"mpOfSorrows","Durotar",1377,"Silithus",1159632896,3295442207,3317314212,3321980160
"","Durotar",618,"Winterspring",3281933763,3320300892,1174754642,1164804096
"","",1519,"Stormwind",1154964849,3244902318,3321487012,3322874030
"","Durotar",1637,"Ogrimmar",3311798682,3315521966,1158553108,1151815352
"netalonMountains","",1537,"Ironforge",3291637187,3300656906,3314469356,3315549901
