# fields=37 strings=0,2,3,4,5,6,7,12,13,14,15,16,17,18,19,28
"PLAYER, Human",4294967295,"","","","","","",0,0,0,0,"","","","","","","","PLAYER, Human",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"LAYER, Human",4294967295,"","","","","","",0,0,0,0,"","","","","","","","PLAYER, Orc",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"AYER, Human",4294967295,"","","","","","",0,0,0,0,"","","","","","","","PLAYER, Dwarf",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"YER, Human",4294967295,"","","","","","",0,0,0,0,"","","","","","","","PLAYER, Night Elf",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"ER, Human",4294967295,"","","","","","",0,0,0,0,"","","","","","","","PLAYER, Undead",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128878
"R, Human",4294967295,"","","","","","",0,0,0,0,"","","","","","","","PLAYER, Tauren ",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
", Human",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Creature",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
" Human",4294967295,"","","","","","",0,0,0,0,"","","","","","","","PLAYER, Gnome",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"Human",4294967295,"","","","","","",0,0,0,0,"","","","","","","","PLAYER, Troll",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Monster",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"PLAYER, Orc",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Defias Brotherhood",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"LAYER, Orc",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Gnoll - Riverpaw",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"AYER, Orc",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Gnoll - Redridge",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"YER, Orc",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Gnoll - Shadowhide",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"ER, Orc",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Murloc",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"R, Orc",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Undead, Scourge",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
", Orc",1,"astal city is run by Baron Revilgaz of the Blackwater Raiders.  Mortal enemies of the Bloodsail Buccaneers and part of the Steamwheedle Cartel.","","","","","",0,0,500,0,"","","","","","","w","Booty Bay",0,0,0,0,0,0,0,4128894,"This booming coastal city is run by Baron Revilgaz of the Blackwater Raiders.  Mortal enemies of the Bloodsail Buccaneers and part of the Steamwheedle Cartel.",0,0,0,0,0,0,0,4128894
" Orc",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Beast - Spider",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"Orc",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Beast - Boar",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"rc",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Worgen",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"c",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Kobold",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Troll, Bloodscalp",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"PLAYER, Dwarf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Troll, Skullsplitter",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"LAYER, Dwarf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Prey",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"AYER, Dwarf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Beast - Wolf",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"YER, Dwarf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Defias Brotherhood Traitor",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"ER, Dwarf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Friendly",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"R, Dwarf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Trogg",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
", Dwarf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Troll, Frostmane",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
" Dwarf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Orc, Blackrock",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"Dwarf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Villian",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"warf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Victim",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"arf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Beast - Bear",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"rf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Ogre",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"f",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Kurzen's Mercenaries",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Escortee",0,0,0,0,0,0,0,8323198,"",0,0,0,0,0,0,0,4128876
"PLAYER, Night Elf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Venture Company",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"LAYER, Night Elf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Beast - Raptor",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
"AYER, Night Elf",4294967295,"","","","","","",0,0,0,0,"","","","","","","","Basilisk",0,0,0,0,0,0,0,4128894,"",0,0,0,0,0,0,0,4128876
